	ii	jj	kk	npes	nodes
1	1	2	1	540	4.82
2	2	0	2	600	5.36
3	2	3	0	648	5.79
4	3	1	1	720	6.43
5	0	3	1	810	7.23
6	4	2	0	864	7.71
7	1	1	2	900	8.04
8	1	4	0	972	8.68
9	2	2	1	1080	9.64
10	3	0	2	1200	10.71
11	3	3	0	1296	11.57
12	0	2	2	1350	12.05
13	4	1	1	1440	12.86
14	1	3	1	1620	14.46
15	2	1	2	1800	16.07
16	2	4	0	1944	17.36
17	3	2	1	2160	19.29
18	4	0	2	2400	21.43
19	0	4	1	2430	21.70
20	4	3	0	2592	23.14
21	1	2	2	2700	24.11
22	2	3	1	3240	28.93
23	3	1	2	3600	32.14
24	3	4	0	3888	34.71
25	0	3	2	4050	36.16
26	4	2	1	4320	38.57
27	1	4	1	4860	43.39
